,U,p,rank_biserial,n_LD,n_DD,median_LD,iqr_LD,q25_LD,q75_LD,median_DD,iqr_DD,q25_DD,q75_DD
mesor,608.0,0.0016346559364506087,-0.4901960784313726,24.0,34.0,1.7533001257081908,1.0990173858306296,1.3802479906980274,2.479265376528657,0.8595291872860106,1.5123164181896276,0.5031001820134721,2.0154166002030998
amplitude,526.0,0.06358799843864932,-0.2892156862745099,24.0,34.0,0.8648979006982218,0.6556466136228951,0.4845477979091673,1.1401944115320624,0.5802949809848932,0.4497077434796327,0.37505793171923385,0.8247656751988666
rel_amplitude,263.0,0.022529152490981363,0.35539215686274506,24.0,34.0,0.4575731418690536,0.27209048129108115,0.32335966612179534,0.5954501474128765,0.5698650513799762,0.5429872826577858,0.40695407505880776,0.9499413577165936
