Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_155920_648000-863999.mp4	2026-07-31 15:56:39.000	Ind 1 - Escape	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_155920_648000-863999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-1	0.0	Esc	Escape	POINT	2231.000	2231.000	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_155920_648000-863999.mp4	133860	133860				
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_175920_1080000-1295999.mp4	2026-07-31 15:56:41.000	Ind 6 - Escape	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_175920_1080000-1295999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-6	0.0	Esc	Escape	POINT	1818.200	1818.200	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250814_175920_1080000-1295999.mp4	109092	109092				
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_205929_12096000-12311999.mp4	2026-07-31 15:57:36.000	Ind 3 - Mortality	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_205929_12096000-12311999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-3	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_205929_12096000-12311999.mp4	215999	215999				
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	2026-07-31 15:57:37.000	Ind 4 - Mortality, Ind 5 - Mortality.	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-4	0.0	Mort	Mortality	POINT	3585.583	3585.583	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	215135	215135				
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	2026-07-31 15:57:37.000	Ind 4 - Mortality, Ind 5 - Mortality.	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-5	0.0	Mort	Mortality	POINT	3585.583	3585.583	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250816_215929_12312000-12527999.mp4	215135	215135				
agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250817_015930_13176000-13391999.mp4	2026-07-31 15:57:40.000	Ind 2 - Mortality	Media file	player #1:agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250817_015930_13176000-13391999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-8-25-rep2-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_8-8-25-rep2\Camera0\LD-diet_agesync_8-8-25-rep2_Camera0_20250817_015930_13176000-13391999.mp4	215999	215999				
