Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_174723_11232000-11447999.mp4	2026-08-03 14:04:34.000	Ind 6 - Mortality	Media file	player #1:agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_174723_11232000-11447999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-23-26-rep8-6	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_174723_11232000-11447999.mp4	215999	215999				
agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_184723_11448000-11663999.mp4	2026-08-03 14:04:35.000	Ind 2 - Mortality	Media file	player #1:agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_184723_11448000-11663999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-23-26-rep8-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260201_184723_11448000-11663999.mp4	215999	215999				
agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260202_014724_12960000-13175999.mp4	2026-08-03 14:04:40.000	Ind 1 - Mortality	Media file	player #1:agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260202_014724_12960000-13175999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-23-26-rep8-1	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-23-26-rep8\Camera0\LD-diet_agesync_1-23-26-rep8_Camera0_20260202_014724_12960000-13175999.mp4	215999	215999				
