Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250804_122315_0-215999.mp4	2026-07-31 14:26:03.000	Finished at 7/31/2026. No behaviors present. Ind 1 - Escaped.	Media file	player #1:agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250804_122315_0-215999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_7-29-25-rep1-6	0.0	Esc	Escape	POINT	288.750	288.750	NA	agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250804_122315_0-215999.mp4	17328	17328				
agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250805_102320_4752000-4967999.mp4	2026-07-31 14:26:29.000	Ind 4 - mortality.	Media file	player #1:agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250805_102320_4752000-4967999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_7-29-25-rep1-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250805_102320_4752000-4967999.mp4	215999	215999				
agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250808_092332_20088000-20303999.mp4	2026-07-31 14:27:32.000	Ind 5 - mortality	Media file	player #1:agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250808_092332_20088000-20303999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_7-29-25-rep1-5	0.0	Mort	Mortality	POINT	2025.233	2025.233	NA	agesync_7-29-25-rep1\Camera0\LD-diet_agesync_7-29-25-rep1_Camera0_20250808_092332_20088000-20303999.mp4	121514	121514				
