Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260111_045148_8640000-8855999.mp4	2026-08-03 13:29:27.000	Ind 2 - Mortality	Media file	player #1:agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260111_045148_8640000-8855999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-2-26-rep7-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260111_045148_8640000-8855999.mp4	215999	215999				
agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_035152_13608000-13823999.mp4	2026-08-03 13:29:49.000	Ind 4 - Mortality	Media file	player #1:agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_035152_13608000-13823999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-2-26-rep7-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_035152_13608000-13823999.mp4	215999	215999				
agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_185155_16848000-17063999.mp4	2026-08-03 13:30:02.000	Ind 1 - Mortality	Media file	player #1:agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_185155_16848000-17063999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-2-26-rep7-1	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_185155_16848000-17063999.mp4	215999	215999				
agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_225156_17712000-17927999.mp4	2026-08-03 13:30:05.000	Ind 6 - Mortality	Media file	player #1:agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_225156_17712000-17927999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-2-26-rep7-6	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260112_225156_17712000-17927999.mp4	215999	215999				
agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260113_085158_19872000-20087999.mp4	2026-08-03 13:30:14.000	Ind 5 - Mortality	Media file	player #1:agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260113_085158_19872000-20087999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_1-2-26-rep7-5	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_1-2-26-rep7\Camera0\LD-diet_agesync_1-2-26-rep7_Camera0_20260113_085158_19872000-20087999.mp4	215999	215999				
