Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251205_092201_4320000-4535999.mp4	2026-08-03 12:03:13.000	Ind 2 - Mortality	Media file	player #1:agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251205_092201_4320000-4535999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_11-28-25-rep4-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251205_092201_4320000-4535999.mp4	215999	215999				
agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251206_042205_8424000-8639999.mp4	2026-08-03 12:03:35.000	Ind 3 - Mortality	Media file	player #1:agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251206_042205_8424000-8639999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_11-28-25-rep4-3	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251206_042205_8424000-8639999.mp4	215999	215999				
agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_162211_16200000-16415999.mp4	2026-08-03 12:04:06.000	Ind 4 - Mortality	Media file	player #1:agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_162211_16200000-16415999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_11-28-25-rep4-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_162211_16200000-16415999.mp4	215999	215999				
agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_212212_17280000-17495999.mp4	2026-08-03 12:04:10.000	Ind 1 - Mortality	Media file	player #1:agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_212212_17280000-17495999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_11-28-25-rep4-1	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251207_212212_17280000-17495999.mp4	215999	215999				
agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251208_102214_20088000-20303999.mp4	2026-08-03 12:04:20.000	Ind 5 - Mortality	Media file	player #1:agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251208_102214_20088000-20303999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_11-28-25-rep4-5	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_11-28-25-rep4-DD\Camera0\DD-diet_agesync_11-28-25-rep4_Camera0_20251208_102214_20088000-20303999.mp4	215999	215999				
