Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251009_145401_432000-647999.mp4	2026-08-03 11:56:28.000	Ind 4 - Mortality	Media file	player #1:agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251009_145401_432000-647999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_10-3-25-rep1-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251009_145401_432000-647999.mp4	215999	215999				
agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_005407_7776000-7991999.mp4	2026-08-03 11:57:08.000	Ind 3 - Mortality	Media file	player #1:agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_005407_7776000-7991999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_10-3-25-rep1-3	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_005407_7776000-7991999.mp4	215999	215999				
agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_125409_10368000-10583999.mp4	2026-08-03 11:57:23.000	Ind 2 - Mortality	Media file	player #1:agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_125409_10368000-10583999.mp4	0.0	0.000	3600.000	3600.000	LD	DD-diet_agesync_10-3-25-rep1-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_10-3-25-rep1-DD\Camera0\DD-diet_agesync_10-3-25-rep1_Camera0_20251011_125409_10368000-10583999.mp4	215999	215999				
