Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_152408_5832000-6047999.mp4	2026-08-03 12:53:40.000	Ind 4 - Mortality	Media file	player #1:agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_152408_5832000-6047999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_9-11-25-rep5-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_152408_5832000-6047999.mp4	215999	215999				
agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_222409_7344000-7559999.mp4	2026-08-03 12:53:49.000	Ind 2 - Mortality	Media file	player #1:agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_222409_7344000-7559999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_9-11-25-rep5-2	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250919_222409_7344000-7559999.mp4	215999	215999				
agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250920_022410_8208000-8423999.mp4	2026-08-03 12:53:54.000	Ind 3 - Mortality	Media file	player #1:agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250920_022410_8208000-8423999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_9-11-25-rep5-3	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250920_022410_8208000-8423999.mp4	215999	215999				
agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_002414_12960000-13175999.mp4	2026-08-03 12:54:17.000	Ind 1 - Mortality	Media file	player #1:agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_002414_12960000-13175999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_9-11-25-rep5-1	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_002414_12960000-13175999.mp4	215999	215999				
agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_212417_17496000-17711999.mp4	2026-08-03 12:54:33.000	Ind 5 - Mortality	Media file	player #1:agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_212417_17496000-17711999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_9-11-25-rep5-5	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_9-11-25-rep5\Camera0\LD-diet_agesync_9-11-25-rep5_Camera0_20250921_212417_17496000-17711999.mp4	215999	215999				
