Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	light_cond	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250825_151732_432000-647999.mp4	2026-07-31 17:34:01.000	ind 2 - mortality (stuck @ 11:02)	Media file	player #1:agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250825_151732_432000-647999.mp4	0.0	201.250	3600.000	3600.000	LD	LD-diet_agesync_8-19-25-rep3-2	0.0	Mort	Mortality	POINT	657.833	657.833	NA	agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250825_151732_432000-647999.mp4	39470	39470				
agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250826_131736_5184000-5399999.mp4	2026-07-31 17:34:29.000	ind 4 - mortality	Media file	player #1:agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250826_131736_5184000-5399999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-19-25-rep3-4	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250826_131736_5184000-5399999.mp4	215999	215999				
agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_111745_15120000-15335999.mp4	2026-07-31 17:35:14.000	Ind 3 - Mortality	Media file	player #1:agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_111745_15120000-15335999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-19-25-rep3-3	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_111745_15120000-15335999.mp4	215999	215999				
agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_191746_16848000-17063999.mp4	2026-07-31 17:35:20.000	ind 5 - Mortality	Media file	player #1:agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_191746_16848000-17063999.mp4	0.0	0.000	3600.000	3600.000	LD	LD-diet_agesync_8-19-25-rep3-5	0.0	Mort	Mortality	POINT	3599.983	3599.983	NA	agesync_8-19-25-rep3\Camera0\LD-diet_agesync_8-19-25-rep3_Camera0_20250828_191746_16848000-17063999.mp4	215999	215999				
