contrast,ratio,SE,df,null,z.ratio,p.value
(DD-diet_Day) / (DD-diet_Night),1.2566140711764169,0.1324763538291852,Inf,1,2.166702637467204,0.1325918135132822
(DD-diet_Day) / (LD-diet_Day),0.5164293197130473,0.05151474061606342,Inf,1,-6.624612477347739,2.088861306148715e-10
(DD-diet_Day) / (LD-diet_Night),0.9475197277693472,0.10543344919617273,Inf,1,-0.4844614339169366,0.9625699498591137
(DD-diet_Night) / (LD-diet_Day),0.41096891365347876,0.044603403676601434,Inf,1,-8.193299675608326,4.873879078104437e-14
(DD-diet_Night) / (LD-diet_Night),0.7540260367149146,0.08968869541450741,Inf,1,-2.3735761628467307,0.082198597797015
(LD-diet_Day) / (LD-diet_Night),1.8347520010983003,0.20295519538991028,Inf,1,5.4865710282410465,2.453308183270053e-7
